category,name,website,applications_open,target_years,eligible,notes,source_id,last_checked,last_changed,snapshot_hash,status,first_seen,muted
Quant firm program,Discover Citadel,https://www.citadel.com/careers/programs-and-events/discover-citadel/,Nov/Dec-Jan,1st & 2nd year,YES,"Invitation-only 2-day event; NY, London, Hong Kong or Singapore. Grad window Dec 2027-Jun 2029 in current cycle.",,,,,unknown,,false
Quant firm program,Discover Citadel Securities,https://www.citadelsecurities.com/careers/programs-and-events/,Nov/Dec-Jan,1st & 2nd year,YES,Separate application from the hedge fund side. Apply to both.,,,,,unknown,,false
Quant firm program,Citadel Trading Invitational,https://www.citadel.com/careers/programs-and-events/the-trading-invitational/,Deadline ~mid-Feb; event spring,1st & 2nd year,YES,Travel + hotel + meals covered (~$750 value). Simulated trading scenario.,,,,,unknown,,false
Quant firm program,Citadel Securities Trading Invitational,https://www.citadelsecurities.com/careers/programs-and-events/the-trading-invitational/,Deadline ~mid-Feb; event spring,1st & 2nd year,YES,"Same structure, market-making focus.",,,,,unknown,,false
Quant firm program,Citadel Launch,https://www.citadel.com/careers/open-opportunities/students/internships/,Aug-Sep,Early undergrad,YES,11-week engineering internship for students early in their journey.,,,,,unknown,,false
Quant firm program,Citadel Securities Quant Invitational,https://www.citadelsecurities.com/careers/markets-and-trading/,Check site,Undergraduate,CHECK,Listed on their programs page; class-year requirement not published.,,,,,unknown,,false
Quant firm program,Citadel Securities Ignite,https://www.citadelsecurities.com/careers/programs-and-events/,Fall,Sophomore women,NO,Invite-only weeklong program for sophomore women.,,,,,unknown,,false
Quant firm program,Jane Street FTTP,https://www.janestreet.com/join-jane-street/programs-and-events/fttp/,Sep-Oct (some reports Feb-Mar),1st year only,YES,"Classes + team-based mock trading. STEM majors, no finance background needed. Rolling - apply week one.",,2026-09-20T12:18:51+00:00,,93f9967c3ceeb4efe5e6d1c216415b8cd6807a0f8e0fd3d7fdf1903530d27cc8,unknown,,false
Quant firm program,Jane Street SEE,https://www.janestreet.com/join-jane-street/programs-and-events/,Check site,Freshman/Sophomore,YES,Software Engineering Experience - OCaml and systems design.,,,,,unknown,,false
Quant firm program,Jane Street JSIP,https://www.janestreet.com/join-jane-street/programs-and-events/jsip/,Deadline ~Feb 8,1st & 2nd year,NO,"Multi-week paid NYC program, $12,500 scholarship - but requires having experienced barriers to access in CS.",,,,,unknown,,false
Quant firm program,Jane Street INSIGHT,https://www.janestreet.com/join-jane-street/programs-and-events/insight/,Fall,Undergraduate,NO,"For women, transgender and gender-expansive people.",,2026-09-20T12:18:51+00:00,,9c071c4826e0c6bed0f851825c5a32161944e2c0e4b11ef3f0cfc8cf2321a717,unknown,,false
Quant firm program,Jane Street WiSE,https://www.janestreet.com/join-jane-street/programs-and-events/,Fall,Undergraduate,NO,Women / trans / gender-expansive students.,,,,,unknown,,false
Quant firm program,Jane Street FOCUS and IN FOCUS,https://www.janestreet.com/join-jane-street/programs-and-events/,Fall-winter,1st & 2nd year,NO,"Barriers-to-access criteria (first-gen, Pell-eligible, under-resourced school). Read criteria yourself.",,,,,unknown,,false
Quant firm program,Jane Street AMP - TA role,https://www.janestreet.com/join-jane-street/programs-and-events/amp/,Winter-spring,Rising sophomore+,LATER,"Paid Jane Street summer on the teaching side. Housing, meals, travel covered. Eligible from spring 2027.",,,,,unknown,,false
Quant firm program,Jane Street ETC,https://www.janestreet.com/join-jane-street/programs-and-events/,Invitation-based,Undergraduate,INVITE,"Electronic Trading Challenge. Entry via university, prior JS events, or the puzzle ecosystem.",,,,,unknown,,false
Quant firm program,Jane Street Symposium,https://www.janestreet.com/join-jane-street/programs-and-events/,Invitation-based,Undergraduate,INVITE,,,,,,unknown,,false
Quant firm program,Jane Street Unboxed,https://www.janestreet.com/join-jane-street/programs-and-events/,Check site,Not published,CHECK,,,,,,unknown,,false
Quant firm program,Jane Street SF Puzzle City,https://www.janestreet.com/puzzles/,Check site,Open,YES,In-person puzzle event.,,,,,unknown,,false
Quant firm program,Jane Street Puzzles (monthly),https://www.janestreet.com/puzzles/,Always open,Anyone,YES,The free on-ramp to the ETC/Symposium invite ecosystem. Do these.,,,,,unknown,,false
Quant firm program,Jane Street Market Prediction (Kaggle),https://www.kaggle.com/competitions,When live,Anyone,YES,,,,,,unknown,,false
Quant firm program,Jane Street Graduate Research Fellowship,https://www.janestreet.com/join-jane-street/programs-and-events/,Fall,PhD,NO,,,,,,unknown,,false
Quant firm program,Jane Street Visiting Researcher / Prefaculty,https://www.janestreet.com/join-jane-street/programs-and-events/,n/a,PhD / faculty,NO,,,,,,unknown,,false
Quant firm program,SIG First Year Discovery Day,https://careers.sig.com/discovery-programs/jobs,Opens ~Aug-Sep; EVENT OCT 2026,1st year only,YES,Virtual. No prior finance experience required. Confirmed date - nearest hard deadline on this list.,,,,,unknown,,false
Quant firm program,SIG Sophomore Discovery Day - Trading,https://careers.sig.com/discovery-programs/jobs,Fall,2nd year,LATER,"Reports say includes an interview, unlike the freshman event.",,,,,unknown,,false
Quant firm program,SIG Sophomore Discovery Day - Capital Markets,https://careers.sig.com/discovery-programs/jobs,Fall,2nd year,LATER,,,,,,unknown,,false
Quant firm program,SIG Sophomore Discovery Day - Technology,https://careers.sig.com/discovery-programs/jobs,Fall,2nd year,LATER,,,,,,unknown,,false
Quant firm program,SIG Sophomore Discovery Day - Technology Infrastructure,https://careers.sig.com/discovery-programs/jobs,Fall,2nd year,LATER,,,,,,unknown,,false
Quant firm program,SIG Sophomore Discovery Day - Growth Equity,https://careers.sig.com/discovery-programs/jobs,Fall,2nd year,LATER,,,,,,unknown,,false
Quant firm program,SIG Sophomore Discovery Days for Women (all tracks),https://careers.sig.com/discovery-programs/jobs,Fall,2nd year women,NO,,,,,,unknown,,false
Quant firm program,SIG Insight Week,https://careers.sig.com/,Check site,Not published,CHECK,,,,,,unknown,,false
Quant firm program,AQR Early Engagement Day,https://careers.aqr.com/jobs/department/university-jobs,Fall,1st & 2nd year,YES,Explicitly first and second year. Inside track to the summer internship. NOT in the NUFT repo - easy to miss.,,,,,unknown,,false
Quant firm program,AQR Quanta Academy,https://www.aqr.com/Insights/Quanta-Academy,Always open,Anyone,YES,"Self-serve educational resource, not an application.",,,,,unknown,,false
Quant firm program,Explore HRT / Inside HRT,https://www.hudsonrivertrading.com/student-opportunities/,Check - was closed as of last look,1st & 2nd year,YES,"3-day immersive for 1st/2nd years in CS, math or STEM.",,,,,unknown,,false
Quant firm program,HRT Sophomore Winternship,https://www.hudsonrivertrading.com/student-opportunities/,Fall,2nd year,LATER,"January, 2-4 weeks, Python/C++.",,,,,unknown,,false
Quant firm program,Bridgewater Rising Fellows,https://www.bridgewater.com/risingfellowsprogram,Jan-Feb,1st year,NO,"CORRECTED: first-year eligible BUT targets backgrounds underrepresented in the industry, recruiting via HBCUs, O4U, BLK Capital, Prep for Prep.",,,,,unknown,,false
Quant firm program,Bridgewater Investment Immersion Program,https://www.bridgewater.com/working-at-bridgewater/students,Dec 1 - Jan 31,2nd year only,LATER,3 days onsite in Westport. Explicitly 'second year of a 4-year degree'.,,,,,unknown,,false
Quant firm program,D. E. Shaw Nexus Fellowship,https://campus.deshaw.com/fellowships,Opens ~Oct; closes mid-Nov,2nd year,LATER,"THE one for you next year - Nexus is the all-students track. 3 days NYC, $1,500 stipend, travel + lodging.",,,,,unknown,,false
Quant firm program,D. E. Shaw Discovery Fellowship,https://campus.deshaw.com/fellowships,Oct-Nov,2nd year women,NO,,,,,,unknown,,false
Quant firm program,D. E. Shaw Latitude Fellowship,https://campus.deshaw.com/fellowships,Oct-Nov,"2nd year, underrepresented minority",NO,,,,,,unknown,,false
Quant firm program,D. E. Shaw Momentum Fellowship,https://campus.deshaw.com/fellowships,Oct-Nov,"2nd year, LGBTQIA+",NO,,,,,,unknown,,false
Quant firm program,D. E. Shaw Research (DESRES) STEM Fellowship,https://www.deshawresearch.com/stemfellowship/,Winter-spring,Rising sophomore+,LATER,"Open to RISING sophomores - you qualify spring 2027. Computational biochemistry entity, not the fund.",,,,,unknown,,false
Quant firm program,Optiver Insight Days,https://optiver.com/working-at-optiver/career-opportunities/,Check site,Not published,CHECK,,,,,,unknown,,false
Quant firm program,Optiver Trading Day,https://optiver.com/working-at-optiver/career-opportunities/,Check site,Not published,CHECK,,,,,,unknown,,false
Quant firm program,Optiver Market Making Competition,https://optiver.com/working-at-optiver/career-opportunities/,Check site,Not published,CHECK,,,,,,unknown,,false
Quant firm program,Optiver Ready Trader Go,https://optiver.com/working-at-optiver/career-opportunities/,Intermittent - has skipped years,Not published,CHECK,,optiver-ready-trader,2026-09-20T12:18:51+00:00,,36cfe7e7863f9d1460b8dc4a91e8c1baec01e9664a492fb99d918b34bf2b6ea3,unknown,,false
