# sections
DV Commodities
DV Equities
DV Securities
Risk
Technology
# rows
DV Commodities	2027 Graduate Software Engineer (DV Commodities) @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4719126005
DV Commodities	Software Engineer Intern - Summer 2027 (DV Commodities) @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4719119005
DV Commodities	Trading Intern - Summer 2027 (DV Commodities) @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4719134005
DV Equities	2027 Quantitative Trader Graduate (DV Equities) @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4719106005
DV Equities	Quantitative Research Intern - Summer 2027 (DV Equities) @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4733133005
DV Equities	Quantitative Trading Intern - Summer 2027 (DV Equities) @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4702083005
DV Equities	Software Developer Intern - Summer 2027 (DV Equities) @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4733138005
DV Securities	Futures & Options Trading Analyst Intern - Summer 2027 @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4722749005
Risk	Quantitative Risk Intern - Summer 2027 @ Chicago	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4719118005
Technology	AI Engineer Intern - Summer 2027 @ Chicago	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4732429005
Technology	Client Platforms Engineer Intern - Summer 2027 @ Chicago	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4732683005
Technology	Client Platforms Engineer Intern - Summer 2027 @ New York	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4732697005
Technology	DevOps Engineer Intern - Summer 2027 @ Chicago	URL=https://job-boards.greenhouse.io/dvtrading/jobs/4730886005
