# sections
CS Mentorship
CS Research
CS Research Experience Undergraduates (REU)
CS Scholarships
CS conferences and scholarships
CS exploratory programs
CS fellowships
CS internship alternative
CS underclassmen internships
Coding interview resources
Finance and consulting exploratory programs
For rising seniors and seniors
Other stuff
Part-time internships
# rows
CS Mentorship	[Management Leadership for Tomorrow Career Prep SWE Track](https://mlt.org/career-prep/)	Name=[Management Leadership for Tomorrow Career Prep SWE Track](https://mlt.org/career-prep/); Description=Career Prep is a rigorous, 18-month career development program for emerging leaders. Through the program, Fellows explore their strengths, passions, and interests in order to prepare and plan for successful careers in business and tech. Sophomores, US citizens only; Approximate Deadline=October
CS Mentorship	[Uber Career Prep Fellows Program](https://www.hiddengeniusproject.org/ubercareerprep/)	Name=[Uber Career Prep Fellows Program](https://www.hiddengeniusproject.org/ubercareerprep/); Description=As a Career Prep Fellow, Uber will help you take your skills to the next level in partnership with experts in the field. This year-long program will consist of five virtual workshops. Topics will vary for each session covering a range of competencies such as: technical interview skills, insights into how top engineers succeed, communication and self-marketing skills, engineering competencies, and so much more. You do 5 mock interviews with Uber engineers and in July interview for Uber SWE internship or full time.; Approximate Deadline=November
CS Research	[Brown + Google exploreCSR](http://explorecsr.cs.brown.edu/?fbclid=IwAR0wxlRlNNpk7vKRy0-fYEs7qFQ3Ogp0GCCiIbVhJW1M24ZH4UnIsLVkyag)	Name=[Brown + Google exploreCSR](http://explorecsr.cs.brown.edu/?fbclid=IwAR0wxlRlNNpk7vKRy0-fYEs7qFQ3Ogp0GCCiIbVhJW1M24ZH4UnIsLVkyag); Description=This year, Brown CS is proud to partner with Google Research to offer exploreCSR: Socially-Responsible AI for Computational Creativity, a semesterlong immersive research experience program for undergraduate students which focuses on exactly these subjects. We encourage students from historically-underrepresented groups within computer science to apply; Approximate Deadline=December
CS Research	[D.E. Shaw Research Undergraduate Fellowship](https://www.deshawresearch.com/stemfellowship/)	Name=[D.E. Shaw Research Undergraduate Fellowship](https://www.deshawresearch.com/stemfellowship/); Description=Two-day educational opportunity open to current underrepresented freshmen and sophomores in STEM. Join us to learn about the research and scientific computing projects at D. E. Shaw Research, to participate in skills-building workshops in computational biochemistry and scientific visualization, and to connect with members of our interdisciplinary team and peers from across the country who share an interest in science and technology. We offer a stipend to all Undergraduate Fellows.; Approximate Deadline=December
CS Research	[Google CS Research Mentorship Program](https://research.google/outreach/csrmp/)	Name=[Google CS Research Mentorship Program](https://research.google/outreach/csrmp/); Description=he CS Research Mentorship Program (CSRMP) aims to attract undergraduate students and retain graduate students from underrepresented groups in computing research pathways by matching them with peers and a Google mentor.; Approximate Deadline=November
CS Research	[NYU CDS Undergraduate Research Program (CURP)](https://cds.nyu.edu/curp/)	Name=[NYU CDS Undergraduate Research Program (CURP)](https://cds.nyu.edu/curp/); Description=CURP is a research mentorship program designed for a diverse group of undergraduate students who have completed at least two years of university-level courses and would like to conduct research in data science. The duration of the program will vary from 3-6 months depending on the research project, but the first cohort is set to begin the program in January 2021. A CURP fellowship award will be offered. United States citizen or be a permanent resident; Approximate Deadline=December
CS Research	[Undergrad Architecture Mentoring (uArch) Workshop](https://sites.google.com/wisc.edu/5thuarchworkshop/)	Name=[Undergrad Architecture Mentoring (uArch) Workshop](https://sites.google.com/wisc.edu/5thuarchworkshop/); Description=The Undergraduate Architecture Mentoring (uArch) Workshop is designed to introduce undergraduate and early Master's students to research and career opportunities in the field of computer architecture in particular and graduate school lifestyle and survival skills in general.; Approximate Deadline=March
CS Research Experience Undergraduates (REU)	[Big Data Summer Institute - A SIBS Program](https://sph.umich.edu/bdsi/)	Name=[Big Data Summer Institute - A SIBS Program](https://sph.umich.edu/bdsi/); Description=The Big Data Summer Institute, a SIBS program, is an interdisciplinary training and research program in biostatistics that introduces undergraduate students to the intersection of big data and human health — a rapidly growing field that uses quantitative analysis to help solve scientific problems and improve people’s lives.; Approximate Deadline=March
CS Research Experience Undergraduates (REU)	[CMU Data Science for Social Good](https://www.dssgfellowship.org)	Name=[CMU Data Science for Social Good](https://www.dssgfellowship.org); Description=The Data Science for Social Good Fellowship is a full-time summer program to train aspiring data scientists to work on machine learning, data science, and AI projects with social impact in a fair and equitable manner. Working closely with governments and nonprofits, fellows take on real-world problems in education, health, criminal justice, sustainability, public safety, workforce development, human services, transportation, economic development, international development, and more.; Approximate Deadline=March
CS Research Experience Undergraduates (REU)	[Harvey Mudd College Department of Computer Science](https://www.hmc.edu/cs/research/reu/)	Name=[Harvey Mudd College Department of Computer Science](https://www.hmc.edu/cs/research/reu/); Description=The program is open to US citizens and permanent residents who are enrolled in undergraduate degree programs. All qualifying students are welcome! Both we at HMC and the NSF invest in building diversity in CS. Both encourage members of groups traditionally underrepresented in postsecondary CS to apply. The program involves a total of 10 students working with faculty members at Harvey Mudd for 10 weeks over the summer. Students will receive a summer stipend, as well as on-campus housing and meals at no cost.; Approximate Deadline=March
