# sections
Externships / Insight Series
Fellowships
Internship-Matching Fellowships
Internships
Special Programs & Resources
Winternships
# rows
Externships / Insight Series	[Bloomberg First Year Insights](https://www.bloomberg.com/company/career/first-year-insights/)	Name=[Bloomberg First Year Insights](https://www.bloomberg.com/company/career/first-year-insights/); Status/Open Date=?; Year=Freshman
Externships / Insight Series	[D.E. Shaw Fellowships](https://fellowships.deshaw.com/)	Name=[D.E. Shaw Fellowships](https://fellowships.deshaw.com/); Status/Open Date=?; Year=Sophomore; Note=Express interest [here](https://www.deshaw.com/forms/RjYzQTNDMTktQ0Q4NC00MDRGLUFDRkEtRkJDQjY5NzhCNzRE)
Externships / Insight Series	[Discover Citadel](https://www.citadel.com/careers/students/discover-citadel/)	Name=[Discover Citadel](https://www.citadel.com/careers/students/discover-citadel/); Status/Open Date=November; Year=Freshman, Sophomore
Externships / Insight Series	[Extern (formerly Paragon One)](https://extern.com/externships)	Name=[Extern (formerly Paragon One)](https://extern.com/externships); Status/Open Date=✅ Rolling; Year=All Students; Note=Real remote work experience on live company projects. Finishers earn an employer-issued certificate that verifies the experience for background checks
Externships / Insight Series	[Impact Labs Summit](https://www.impactlabs.io/summit)	Name=[Impact Labs Summit](https://www.impactlabs.io/summit); Status/Open Date=?; Year=All student; Note=Professional networking event for students & professionals in NYC
Externships / Insight Series	[JPMorgan Chase Career.edYOU](https://careers.jpmorgan.com/us/en/students/programs/career-edyou)	Name=[JPMorgan Chase Career.edYOU](https://careers.jpmorgan.com/us/en/students/programs/career-edyou); Status/Open Date=?; Year=Sophomore
Externships / Insight Series	[Jane Street FTTP](https://www.janestreet.com/join-jane-street/programs-and-events/fttp/)	Name=[Jane Street FTTP](https://www.janestreet.com/join-jane-street/programs-and-events/fttp/); Status/Open Date=✅ Open; Year=Freshman; Note=Insight into Jane Street for trading. Runs March 24th - March 28th, 2025
Externships / Insight Series	[Jane Street SEE](https://www.janestreet.com/join-jane-street/programs-and-events/see/)	Name=[Jane Street SEE](https://www.janestreet.com/join-jane-street/programs-and-events/see/); Status/Open Date=?; Year=Freshman, Sophomore; Note=Insight into CS and Math in Finance. Express interest [here](https://docs.google.com/forms/d/e/1FAIpQLSfxZvW2CpqwepLhBLnO9UJemsUTNA8ulU-oYXb5uPJ9vKT1pw/viewform)
Externships / Insight Series	[SIG Discovery Day](https://careers.sig.com/sig-discovery-days/)	Name=[SIG Discovery Day](https://careers.sig.com/sig-discovery-days/); Status/Open Date=✅ Open; Year=Freshman, Sophomore; Note=Program is in March 2025
Fellowships	Wells Fargo Discovery Fellowship	Name=Wells Fargo Discovery Fellowship; Status/Open Date=?; Year=Sophomore; Note=Various offices to participate in a rotational experience. Pathway to full-time internship
