# sections
Fall 2026 (34 employer-stated)
Recently posted — cycle not stated (178 roles)
Summer 2027 (300 employer-stated)
# rows
Fall 2026 (34 employer-stated)	ABB / AI Robotics UI/UX Intern- Fall 2026 @ Milpitas, California, USA	Company=ABB; Role=AI Robotics UI/UX Intern- Fall 2026; Category=Data & ML/AI; Location=Milpitas, California, USA; Skills=TypeScript, JavaScript, React, Angular; Posted=Aug 27, 2026; Apply=[Apply](https://abb.wd3.myworkdayjobs.com/external_career_page/job/Milpitas-California-USA/AI-Robotics-UI-UX-Intern--Fall-2026_JR00044847-1)
Fall 2026 (34 employer-stated)	ABB / Physical AI Robotics Simulation Intern- Fall 2026 @ Milpitas, California, USA	Company=ABB; Role=Physical AI Robotics Simulation Intern- Fall 2026; Category=Data & ML/AI; Location=Milpitas, California, USA; Skills=No skills listed; Posted=Aug 27, 2026; Apply=[Apply](https://abb.wd3.myworkdayjobs.com/external_career_page/job/Milpitas-California-USA/Physical-AI-Robotics-Simulation-Intern--Fall-2026_JR00044848-1)
Fall 2026 (34 employer-stated)	Amazon / Robotics - Applied Scientist II Intern / Co-op - 2026 (Robotics, Manipulation, Perception, Motion Planning, Autonomous Mobile Robots, Computer Vision, Machine Learning, Controls, and more) @ North Reading, Massachusetts, USA	Company=Amazon; Role=Robotics - Applied Scientist II Intern / Co-op - 2026 (Robotics, Manipulation, Perception, Motion Planning, Autonomous Mobile Robots, Computer Vision, Machine Learning, Controls, and more); Category=Data & ML/AI; Location=North Reading, Massachusetts, USA; Skills=Computer Vision, Python, Java, C++; Posted=Oct 08, 2025; Apply=[Apply](https://www.amazon.jobs/en/jobs/3104589/robotics-applied-scientist-ii-intern-co-op-2026-robotics-manipulation-perception-motion-planning-autonomous-mobile-robots-computer-vision-machine-learning-controls-and-more)
Fall 2026 (34 employer-stated)	Amazon / Robotics - Software Development Engineer Fall Intern/Co-op - 2026 @ Westboro, Massachusetts, USA	Company=Amazon; Role=Robotics - Software Development Engineer Fall Intern/Co-op - 2026; Category=Hardware; Location=Westboro, Massachusetts, USA; Skills=Python, Java, C++, C#; Posted=Aug 27, 2026; Apply=[Apply](https://www.amazon.jobs/en/jobs/10517149/robotics-software-development-engineer-fall-intern-co-op-2026)
Fall 2026 (34 employer-stated)	Amazon / Software Development Engineer Intern, AWS Data Services - Fall 2026 (US) @ Seattle, Washington, USA	Company=Amazon; Role=Software Development Engineer Intern, AWS Data Services - Fall 2026 (US); Category=Data & ML/AI; Location=Seattle, Washington, USA; Skills=AWS, Python, Java, C++; Posted=May 06, 2026; Apply=[Apply](https://www.amazon.jobs/en/jobs/10412530/software-development-engineer-intern-aws-data-services-fall-2026-us)
Fall 2026 (34 employer-stated)	Ameriprise Financial / Data Analytics & AI Intern - RiverSource @ Minneapolis, Minnesota	Company=Ameriprise Financial; Role=Data Analytics & AI Intern - RiverSource; Category=Data & ML/AI; Location=Minneapolis, Minnesota; Skills=No skills listed; Posted=Sep 10, 2026; Apply=[Apply](https://ameriprise.wd5.myworkdayjobs.com/Ameriprise/job/Minneapolis-Minnesota/Data-Analytics---AI-Intern---RiverSource_R26_3595)
Fall 2026 (34 employer-stated)	Beacon Software / Software Engineering Intern @ San Francisco, CA	Company=Beacon Software; Role=Software Engineering Intern; Category=Software; Location=San Francisco, CA; Skills=Python, TypeScript, LLMs, dbt; Posted=Jun 02, 2026; Apply=[Apply](https://jobs.ashbyhq.com/beaconsoftware/2452d342-a069-4eda-adbe-9df296808ca1)
Fall 2026 (34 employer-stated)	CACI / Software Engineering Co-op - Fall 2026 @ King of Prussia, PA, US	Company=CACI; Role=Software Engineering Co-op - Fall 2026; Category=Software; Location=King of Prussia, PA, US; Skills=Python, Java, C++, React; Posted=Sep 02, 2026; Apply=[Apply](https://caci.wd1.myworkdayjobs.com/external/job/King-of-Prussia-PA-US/Software-Engineering-Co-op---Fall-2026_331472)
Fall 2026 (34 employer-stated)	CCC Intelligent Solutions / R&D & Data Science Internship Fall 2026 @ Chicago (Green St), IL	Company=CCC Intelligent Solutions; Role=R&D & Data Science Internship Fall 2026; Category=Data & ML/AI; Location=Chicago (Green St), IL; Skills=Python, Java, JavaScript, Swift; Posted=Aug 11, 2026; Apply=[Apply](https://cccis.wd1.myworkdayjobs.com/broadbean_external/job/Chicago-Green-St-IL/R-D---Data-Science-Internship-Fall-2026_0014841)
Fall 2026 (34 employer-stated)	Eurofins / 6-month paid internship - AI & Automation @ Barcelona, CT, International (ES)	Company=Eurofins; Role=6-month paid internship - AI & Automation; Category=Data & ML/AI; Location=Barcelona, CT, International (ES); Skills=Python, SQL; Posted=Sep 10, 2026; Apply=[Apply](https://jobs.smartrecruiters.com/Eurofins/744000148712379)
